uid	pid	tstamp	crdate	cruser_id	deleted	hidden	"name"	"logo"	"website"	"description"	type	start_date	end_date	"contact_organization"	"contact_person"	"contact_position"	"contact_email"	"key_inputs"	"key_infrastructure"	"key_technologies"	"key_processes"	"geographic_scope"	geographic_type	"taxonomic_scope"	taxonomic_type	"comments"	finalised	t3ver_oid	t3ver_id	t3ver_wsid	"t3ver_label"	t3ver_state	t3ver_stage	t3ver_count	t3ver_tstamp	t3_origuid	language
463	863	1180452422	1180452422	0	0	0	"The Lecythidaceae Pages"	"lecythidaceae.jpg"	"sweetgum.nybg.org/lp/"	"Neotropical Lecythidaceae are among the most spectacular plants in the world because of their showy flowers and large woody fruits. They are also ecologically dominant species in Amazonian forests, for example, Steege et al. (2006) show that Lecythidaceae are the third most abundant family as calculated from a sample of 277,069 trees from across Amazonia and that Eschweilera, the genus with the most species in Lecythidaceae, is represented by more trees than is any other genus of plants in Amazonia. Lecythidaceae are found as far north as Mexico and as far south as Paraguay, but are not nearly as abundant or species rich as in the Amazon.

Species of the family possess numerous flower and fruit features that reflect adaptations for pollination and dispersal. Although all tropical plant families have such adaptations, they are especially easy to identify in this family because of the large size of the flowers and fruits and adaptations for pollination by bees and bats and dispersal by animals, the wind, and water are easily seen.

The long-term goal of this website is to provide in a single location all of the information that we and our collaborators have accumulated on the taxonomy and biology of the Brazil nut family. We will include keys to species (not yet available), web pages for the Neotropical species (all names and synonyms are in the database but all fields in the records are not yet populated), and copies of papers that have been written about the systematics, economic botany, habitats, pollination, dispersal biology, anatomy and morphology, and molecular biology of the family. One molecular study by Morton et al. (1997) has already been published and others are in progress and will be added to this site as they are published.

Knowing the names of things is said to be the first step in acquiring knowledge, and this is especially true for learning about and understanding the ecology and evolution of the living world. For example, as the names of species of the Brazil nut family become known, and information is made available about how to identify these species, more in depth studies about their distribution, pollination, dispersal, habitat preferences, and their relationships with other species such as predators become possible. Such information can then lead to an understanding of biological processes and to the designing of conservation plans for protecting Lecythidaceae and all of the other species of plants and animals that share its habitats.

All those interested in the protection of plant and animal species are, or should be, aware of the importance of systematic botany in conservation. Thus, the primary reason for this web site is to make it possible for others to know the names of species of the Brazil nut family and to learn how we and others have used this information to learn about their biological relationships. We are particularly interested in helping both governmental and non-governmental agencies to set aside forests to protect the diversity of this and other families of trees because all other organisms the forest depend upon the trees for their survival."	3	1138748400	0	"New York Botanical Garden"	"Scott A. Mori"	"Co-Author"	"smori@nybg.org"	"Data from publications"	"Web site"	"HTML"	"Pass on information, provide access to literature, collaboration, education"	"Global"	7	"Lecythidaceae"	8	"Contributor to species 2000"	1	0	0	0	""	0	0	0	0	0	30
461	863	1180452422	1180452422	0	0	0	"The Universal Virus Database"	"ictv.jpg"	"www.ncbi.nlm.nih.gov/ICTVdb/index.htm"	"The Universal Virus Database, ICTVdB, is authorised by ICTV (International Committee on Taxonomy of Viruses) and has been constructed by Cornelia Büchen-Osmond, from 1991-2000 in Bioinformatics Group, Australian National University, in consultation with ATCC and supported by NSF. In 2001 ICTVdB moved to the Biosphere 2 Center, the Western Campus of the Earth Institute, Columbia University of New York USA.

The directory of ICTVdB is an Index of Viruses, a list of approved virus names linked to virus descriptions coded from information in Virus Taxonomy: The Seventh Report of the International Committee on Taxonomy of Viruses, van Regenmortel et al. (eds) Academic Press (2000), and includes updates subsequently approved by ICTV. It also incorporates the plant virus database VIDEdB and is illustrated with EM pictures, diagrams and images of symptoms contributed by virologists around the world."	3	665362800	0	"Columbia University"	"Dr. Cornelia Buchen-Osmond"	"Author"	"ictvdb@dbmi.columbia.edu"	"Data from various sources, funded from various sources."	"Web site"	"DELTA, HTML"	"Unknown"	"Global"	7	"Virus"	3	"Contributes to species 2000"	1	0	0	0	""	0	0	0	0	0	30
584	-1	1180452422	1180452422	0	0	0	"International Organisation for Plant Information"	"iopi.jpg"	"plantnet.rbgsyd.nsw.gov.au/iopi/iopihome.htm"	"The International Organization for Plant Information (IOPI) will provide a series of computerized databases summarizing taxonomic, biological, and other information on plants of the world. IOPI's mission is to develop an efficient and effective means of providing basic plant information to users, and guide them toward sources of authoritative data. IOPI is a member of Species 2000, and is a supporter of GBIF.
IOPI was initiated in 1991 by an international group of botanists and computer scientists. It has a membership that includes many major botanical institutions and related organizations, plus botanical specialists in over 40 countries."	5	665362800	0	"International Organisation for Plant Infromation"	"Unknown"	"Contact"	"iopi@rbgsyd.nsw.gov.au"	"Data from a range of sources"	"Web site"	"ASP"	"Unknown"	"Global"	7	"Plantae"	4	"Operate the Global Plant Checklist, contribute to species 2000"	1	462	0	0	""	0	0	0	0	0	30
459	863	1180452422	1180452422	0	0	0	"Phylogeny and taxonomy of Glomeromycota"	"nologo.png"	"www.amf-phylogeny.com/"	"In the taxonomy section you find the recent taxonomy of arbuscular mycorrhizal (AM) fungi, including NCBI taxonomy, Index Fungorum, and the AM fungi (AMF) species list (with links to pdf-files of descriptions). Under 'downloads' you find some supplementary material (alignments, etc.)."	3	0	0	"Ludwig-Maximilians-Universitat Munchen"	"Dr. Arthur Schuessler"	"Author"	"arthur.schuessler@lrz.uni-muenchen.de"	"Data from publications and research"	"Web site"	"HTML"	"Unknown"	"Global"	7	"Glomeromycota"	5	"contributes to species 2000"	1	0	0	0	""	0	0	0	0	0	30
460	863	1180452422	1180452422	0	0	0	"Hexacorallians of the World"	"hexacorals.gif"	"hercules.kgs.ku.edu/hexacoral/anemone2/index.cfm"	"A compilation of publications concerning taxonomy, nomenclature, and geographic distribution of extant hexacorallians - members of cnidarian orders Actiniaria (sea anemones in the strict sense), Antipatharia (black corals), Ceriantharia (tube anemones), Corallimorpharia (sea anemones in the loose sense), Ptychodactiaria (sea anemones in the loose sense), Scleractinia (hard or stony corals), and Zoanthidea (sea anemones in the loose sense) 

Funded largely by US National Science Foundation grants DEB95-21819 and DEB99-78106 (in the program PEET - Partnerships to Enhance Expertise in Taxonomy) and supplements in the REU program (Research Experience for Undergraduates) to Daphne G. Fautin, and grant OCE00-03970 (in NOPP, the National Oceanographic Partnership Program) to D.G.F. and Robert W. Buddemeier. 
 
Data include: 
Bibliographic reference to the work in which each taxon was originally described 
Synonymy of each taxon 
Taxonomic status of each taxon 
Images of many species - from the published literature as well as previously unpublished ones 
Type specimens - by species and by museum 
Type locality of each species 
Published distribution of each species 
List of relevant publications by each author 
Classification schemes of Hexacorallia"	3	0	0	"University of Kansas"	"Daphne G. Fautin"	"Author"	"fautin@ku.edu"	"Referenced ata, images, type specimens, classification schemes"	"Web site"	"CFM"	"Unknown"	"Global marine areas"	7	"Actiniaria, Antipatharia, Ceriantharia, Corallimorpharia, Ptychodactiaria, Scleractinia, Zoanthidea"	7	"Contributes to species 2000; range of links to other projects listed here http://www.kgs.ku.edu/Hexacoral/Links/links.html"	1	0	0	0	""	0	0	0	0	0	30
458	863	1180452422	1180452422	0	0	0	"Entomological Data Information System"	"edis.jpg"	"www.insects-online.de/"	"This web site provides first hand information about the Entomological Data Information System (EDIS), a joint national biodiversity information initiative which was implemented during the course of three years with support from the German Federal Ministry of Education and Research (BMBF) as part of the research program BIOLOG (German text). EDIS provides access to relevant information about insects and other arthropods for research and the general public, and was coordinated by the State Museum of Natural History, Stuttgart, Germany. 

The funding period for EDIS was April 2000 to December 2003. A number of EDIS projects could be continued within the new funding program GBIF-Germany of the BMBF"	1	949618800	1072911600	"Staatliches Museum für Naturkunde"	"Joachim Holstein"	"Technical Contact"	"holstein.smns@naturkundemuseum-bw.de"	"Funding during period, daa from various projects"	"Web site"	"HTML"	"Unknown"	"Global"	7	"Insecta"	6	"Has a listing of projects under http://www.insects-online.de/frames/projects.htm"	1	0	0	0	""	0	0	0	0	0	30
456	863	1180452422	1180452422	0	0	0	"The Gymnosperm Database"	"gymnosperm.jpg"	"www.conifers.org/"	"Welcome to the Gymnosperm Database, the web's premier source of information on conifers and their allies. Since we went online on 1997, the Database has attracted worldwide attention as a readily accessible, scientifically accurate source of information on the classification, description, ecology and uses of this culturally and ecologically important group of plants. This home page gives some hints about how to navigate the Database, as well as providing background information for the curious."	3	854751600	0	"Unknown"	"Christopher J. Earle"	"Author"	"earlecj@gmail.com"	"Data from a range of publications"	"Web site"	"HTML"	"Unknown"	"Global"	7	"Plantae (gymnosperms)"	4	""	1	0	0	0	""	0	0	0	0	0	30
1546	-1	1180452422	1180452422	0	0	0	"Fulgoromorpha Lists on the Web"	"flow.jpg"	"lis.snv.jussieu.fr/flow"	"The FLOW (Fulgoromorpha Lists On the WEB) Project is an on-line database on planthoppers (Hemiptera, Fulgoromorpha). Its goal is to permit entomologists and other interested people an easy access to a synthesis of available biological published data on this group. In the future, FLOW will provide an up-to-date database on Fulgoromorpha systematic, with referenced informations about their morphology, etho-ecology and biogeography."	3	0	0	"Muséum National d'Histoire Naturelle"	"Thierry Bourgoin"	"Contact"	"bourgoin@mnhn.fr"	"Published information"	"Web site"	"Microsoft Access, DB2Web, HTML"	"Unknown"	"Global"	7	"Fulgoromorpha (suborder)"	7	"Contributes to species 2000"	1	457	0	0	""	0	0	0	0	0	30
455	863	1180452422	1180452422	0	0	0	"Conifer Database"	"nologo.png"	""	"The Conifer database is a taxonomic and specimen database of all 630 species of conifers in the world based on herbarium specimens from many herbaria. The database has been compiled primarily as a tool for taxonomic revisions and to produce checklists and reports. Work on the database is in progress so not all information is available for all species."	3	0	0	"Royal Botanic Gardens, Kew"	"Aljos Farjon"	"Author"	"A.farjon@rbgkew.org.uk"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Global"	7	"Pinopsida"	6	"No web site located, could not be identified at Royal Botanic Gardens or on Google searches.  Potentially a standalone database.  Contributes to species2000."	1	0	0	0	""	0	0	0	0	0	30
454	863	1180452422	1180452422	0	0	0	"Computer Aided Identification of Phlebotomine sandflies of Americas"	"cipa.gif"	"cipa.snv.jussieu.fr/"	"CIPA includes information on 418 neotropical sandfly (Phlebotominae) species. These blood-sucking insects are important as vectors transmitting human and animal diseases, e.g. leishmaniasis, bartonellosis, arboviruses. In addition to the data contributed to the Catalogue of Life, CIPA also provides an interactive key and data on the ecology and epidemiology of the group. CIPA is an international project involving experts from 9 countries and was supported by the Program for Science & Technology Cooperation, Office of the Science Advisor, USA; Agency for International Development, and the Scientific & Technical Cooperation, Ministry of Foreign Affairs, France."	3	0	0	"Universite Pierre et Marie Curie"	"R Vignes-Lebbe"	"Unknown"	"Unknown"	"Unknown"	"Web site"	"Java, Perl scripts"	"Unknown"	"North and South America"	5	"Phlebotominae (sub-family)"	8	"Not updated since 1999"	1	0	0	0	""	0	0	0	0	0	30
